"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1140101479","Прямоугольный композитный 
штуцер","А","1",""
"2","1140101464","Прямой соединитель","А","1",""
"3","1140102812","Прямой соединитель","А","1",""
"4","1040301502","Шайба","А","4","JB/T93-1987"
"5","1040002433","Болт","А","4","JB/T5783-2000"
"6","1040302489","Шайба","B","4","GB/T97.1-2002"
"7","1140101462","Прямой соединитель","А","1",""
"8","1140101465","Прямой соединитель","А","1",""
"9","1140101477","Прямоугольный композитный 
штуцер","А","1",""
"10","1140101478","Прямоугольный композитный 
штуцер","А","2",""
"11","1140101521","Прямой соединитель","А","1",""
"12","1140111237","Прямой соединитель","А","5",""
"13","1140101629","Резьбовая заглушка","А","1",""
"14","1010307656","Клапан управления консолью","А","1",""
"15","1140103265","Внутренняя шестигранная заглушка","А","2",""
