"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","02554600312622000","Поршневой шток","А","1",""
"2","1040100369","Винт","А","2",""
"3","02554000302400001","Поршень","А","1",""
"4","1081401283","Направляющее кольцо","А","1",""
"5","1081012317","780 Поршневая герметизация","А","1",""
"6","1081007565","Стопорное кольцо","А","2",""
"7","1081000452","О-образное кольцо","А","1",""
"8","02554600312620004","Прокладочное кольцо","А","1",""
"9","1040300242","Стопорное кольцо","А","1",""
"10","1054400116","Комбинированная втулка","А","1",""
"11","1081002802","О-образное кольцо","А","1",""
"12","1081007861","Стопорное кольцо","А","1",""
"13","1081006039","Уплотнительное кольцо STd","А","1",""
"14","1081004413","Уплотнительные узлы стержня 
поршня","А","1",""
"15","1081200342","Пылезащитное кольцо","А","1",""
"16","02554000302400002","Направляющая втулка","А","1",""
"17","02554000302400003","Крышка цилиндра","А","1",""
"18","02554600312621000","Корпус цилиндра","А","1",""
"19","1040100368","Винт","А","1",""
