"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"64","1140316137","Шланг в сборе","А","1",""
"65","1140316136","Шланг в сборе","А","1",""
"66","1140316133","Шланг в сборе","А","1",""
"67","1140316132","Шланг в сборе","А","1",""
"68","1140316131","Шланг в сборе","А","1",""
"69","1140253561","Шланг в сборе","А","1",""
"70","1140277776","Шланг в сборе","А","1",""
"71","1140316142","Шланг в сборе","А","1",""
"72","1140232234","Шланг в сборе","А","1",""
"73","1140316135","Шланг в сборе","А","1",""
"74","1140227902","Шланг в сборе","А","1",""
"75","1140256381","Шланг в сборе","А","1",""
"76","1140316129","Шланг в сборе","А","2",""
"77","1140316128","Шланг в сборе","А","2",""
"78","1140316134","Шланг в сборе","А","1",""
"79","1140212304","Шланг в сборе","А","1",""
"80","1140246818","Шланг в сборе","А","1",""
"81","1140256095","Шланг в сборе","А","1",""
"82","1140234381","Шланг в сборе","А","1",""
"83","1140316130","Шланг в сборе","А","1",""
"84","1140214649","Шланг в сборе","А","1",""
