"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"33","02554000200001120","Прокладка концевого выключателя","А","4",""
"56","1040300771","Шайба","А","14","GB/T97.1-2002"
"57","1040002555","Болт","А","14","JB/T5783-2000"
"58","02554000201280000","Нижняя пылезащитная щетка","А","2",""
"59","1040004032","Болт","А","8","JB/T5783-2000"
"60","02554000201480000","Верхняя пылезащитная щетка","А","1",""
"61","02554000201500000","Нижняя пылезащитная щетка","А","1",""
"62","1040004033","Болт","А","27","JB/T5783-2000"
"63","1040302489","Шайба","B","47","GB/T97.1-2002"
"64","02554000201460000","Боковая пылезащитная щетка","А","2",""
"65","02554000201401110","Регулировочная шайба","А","2",""
"66","00773400300001140","Регулировочная шайба Ⅴ","C","14",""
"67","00771100301320000","Ползун","C","6",""
"68","00771100301310000","Ползун","C","2",""
"69","00773400300001131","Регулировочная шайба (2 мм)","А","6",""
"70","00771100301601061","Регулировочная шайба","B","2",""
"71","00771100301601071","Регулировочная шайба","B","4",""
"72","00771100301490000","Ползун","C","2",""
"73","02554000201401130","Триггерная планка путевого 
выключателя I","А","1",""
"74","02551500301401100","Регулировочная шайба (5 мм)","B","1",""
"75","02551500301410000","Ползун","B","3",""
"76","02554000201440000","Ползун","А","2",""
"77","02554000201401120","Регулировочная шайба (2 мм)","А","2",""
"78","02554000200400001","Сварной элемент стрелы второй 
секции","А","1",""
