"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1140111237","Прямой соединитель","А","1",""
"2","1140101523","Прямой соединитель","А","8",""
"3","1140101463","Прямой соединитель","А","2",""
"4","1040004644","Болт","А","4","JB/T5783-2016"
"5","1040300054","Шайба","А","4","JB/T93-1987"
"6","1040302490","Шайба","B","4","GB/T97.1-2002"
"7","1140111291","Тройной композитный штуцер","А","1",""
"8","1140101809","Переходное соединение стыкового 
типа","B","2",""
"9","1060300302","Комбинированный прямой 
переходный соединитель","А","1",""
"10","1011200199","Центрально-вращающееся 
соединение","А","1",""
"11","1140101464","Прямой соединитель","А","5",""
"12","1140101489","Тройной композитный штуцер","А","3",""
