"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1140108904","Штуцер","А","1",""
"2","1140118636","Прямой удлиненный соединитель","А","1",""
"3","1140101737","Прямоугольный композитный 
штуцер","А","1",""
"4","1140114950","Прямой удлиненный соединитель","А","1",""
"5","1140101480","Прямоугольный композитный 
штуцер","А","1",""
"6","1140115520","Прямой удлиненный соединитель","А","1",""
"7","1140107416","Заглушка с внутренней 
шестигранной головкой","А","3",""
"8","02554605201801000","Корпус масляного бака","А","1",""
"9","1140103362","Прямой соединитель","А","1",""
"10","1010601139","Обратный масляный фильтр","А","1",""
"11","1040004519","Болт","А","2","JB/T5783-2000"
"12","00772705211820000","Крышка в сборе","А","1",""
"13","1010500489","Воздушный фильтр","А","1",""
"14","00772705211801100","Каучуковая прокладка крышки","А","3",""
"15","02554005201821020","Крышка","А","2",""
"16","1040004518","Болт","А","30","JB/T5783-2000"
"17","1040301510","Шайба","А","32","JB/T93-1987"
"18","1040301515","Шайба","А","32","GB/T97.1-2002"
"19","1019901354","Уровнемер-термометр","А","2",""
"20","1140101462","Прямой соединитель","А","1",""
"21","1140101464","Прямой соединитель","А","2",""
"22","1140111237","Прямой соединитель","А","2",""
