"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","00772707100601180","Пластина II","A","1",""
"2","00772707100601170","Пластина I","A","1",""
"3","02554607100601140","Ветрозащитный щиток","A","1",""
"4","00772707100601160","Гнутая пластина IV","B","1",""
"5","1040002458","Болт M8×40-8.8","A","4","GB/T5783-2000"
"6","1040004518","Болт M8×20-8.8","A","15","GB/T5783-2000"
"7","02553207100601030","Монтажная пластина 
расширительного бачка","A","1",""
"8","00772707100601150","Гнутая пластина III","B","1",""
"9","1000300735","Расширительный бачок 4л","A","1",""
"10","1040301515","Шайба 8-200HV","A","34","GB/T97.1-2002"
"11","00772707100601120","Паровая резиновая трубка II","A","1",""
"12","00772707100601110","Паровая резиновая трубка I","A","1",""
"13","1040200503","Гайка M8-8","A","15","GB/T889.1-2000"
"14","00772707100601080","Трубка подпитки","A","1",""
"15","02552907120601020","Трубка отвода воды","A","1",""
"16","1990202279","Хомут червячный 12-20","A","6",""
"17","00772507100601010","Паровая резиновая трубка III","A","1",""
"18","02553207110601060","Соединение резиновой трубки II","A","1",""
"19","1990202288","Спиральный червячный хомут 45-
67","A","8",""
"20","1040302489","Шайба 10-200HV","B","8","GB/T97.1-2002"
"21","1040004508","Болт M10×45-8.8","A","4","GB/T5783-2016"
"22","00771407120601080","Прокладка вентилятора","B","1",""
"23","00772707100601060","Резиновая трубка IV","A","1",""
"24","1040200504","Гайка M10-8","A","4","GB/T889.1-2000"
"25","02553207110601030","Соединение резиновой трубки I","A","1",""
"26","1000300966","Вентилятор в сборе","A","1",""
"27","1990202282","Хомут червячный 25-40","A","2",""
"28","00772707100601010","Трубка возврата воды","A","1",""
"29","00772707100601050","Резиновая трубка III","A","1",""
"30","1040301031","Шайба 12-300HV","B","8","GB/T96.1-2002"
