"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"12","1040200504","Гайка","А","12","GB/T889.1-2000"
"13","1040302489","Шайба","B","14","GB/T97.1-2002"
"14","02554600701001211","Трубный зажим","B","2",""
"15","02554600701001020","Прижимная планка","А","2",""
"16","02554600701001231","Трубный зажим","B","2",""
"17","1040006095","Шестигранный болт","А","4","JB/T5782-2000"
"18","02554600701001221","Трубный зажим","B","2",""
"19","1040004033","Болт","А","4","JB/T5783-2000"
"20","00771400700001011","Шайба","B","4",""
"21","1040202855","Гайка","А","1","GB/T889.1-2000"
"22","1040102738","Винт","А","1","GB/T70.1-2000"
"23","02555300700001010","Опорное колесо","B","1",""
"24","02555300701000000","Кронштейн опорного колеса","B","1",""
"27","02554600701401040","Прижимная планка","А","1",""
"28","02554600701401011","Трубный зажим","B","1",""
"29","02554600701401020","Прижимная планка","А","1",""
"30","02554600701030000","Держатель длинной цепи II","А","1",""
"34","1040302512","Шайба","А","24","GB/T96.1-2002"
"35","1040002434","Болт","А","20","JB/T5783-2016"
"36","02554600701020001","Кронштейн стальной трубы","А","1",""
"47","02554600700410000","Буксируемая цепь основной стрелы","А","1",""
"50","02554600701010000","Держатель длинной цепи I","А","3",""
"53","02554600701040000","Нижняя крышка желоба проводов","А","4",""
"56","02554600701001010","Верхняя крышка желобка проводов","А","4",""
"57","1040002435","Болт","А","4","JB/T5783-2016"
"58","1040103375","Винт","А","4","GB/T70.2-2000"
"59","1040007538","Болт","А","16","JB/T5782-2000"
"60","1040302480","Шайба","B","16","GB/T96.1-2002"
"61","02554600701050001","Монтажная подставка","А","1",""
"66","00772700700401291","Регулировочная шайба","А","2",""
"67","1040301502","Шайба","А","2","JB/T93-1987"
"68","1040007220","Болт","А","2","JB/T5782-2000"
