"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"7","00772700302201200","Износостойкая прокладка","А","8",""
"8","00771400610001040","Подшипник, не требующий смазки","А","8",""
"9","00772702800001210","Подшипник, не требующий 
смазывания III","B","32",""
"10","02554602810001250","Прокладочное кольцо I","А","8",""
"11","00772702800001060","Штифт V","C","8",""
"12","1040007054","Болт","B","12","JB/T5783-2016"
"13","00773400400001250","Стопорный штифт","E","16",""
"14","00771102800001040","Штифт","C","8",""
"15","1040005831","Болт","А","32","JB/T5789-1986"
"16","1040301515","Шайба","А","8","GB/T97.1-2002"
"17","1040004517","Болт","А","8","JB/T5783-2000"
"18","1040301510","Шайба","А","8","JB/T93-1987"
"19","00772702800001080","Вращающийся диск","C","4",""
"20","00772702800001100","Защитный кожух датчика","C","4",""
"21","00772702800001090","Монтажная перегородка","B","4",""
"22","1040200504","Гайка","А","4","GB/T889.1-2000"
"23","02554602812000000","Гидроцилиндр рулевого управления","B","4",""
"24","1040006550","Болт","А","4","JB/T5783-2000"
"25","02554602812200000","Сварка штифта","А","4",""
"26","00772702800001070","Фланец для установки датчика","B","4",""
"27","1040102598","Винт","B","16","GB/T70.1-2000"
"28","1040202510","Гайка","А","4","JB/ZQ4331-2006"
"29","02554602810001230","Прокладка","А","4",""
"30","02554602810001240","Прокладка","А","4",""
"31","1040500272","Штифт","А","4","JB/T91-2000"
"32","02554602820800000","Сварной элемент поворотной 
тележки I","А","2",""
"33","02554602810001120","Прокладка II","А","4",""
"34","02554602821000000","Сварной элемент поворотной 
тележки II","А","2",""
