"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","02553207100401040","Топливная трубка IV","A","1",""
"2","1140115463","Быстроразъемное соединение 9.89","A","1",""
"3","1140114594","Быстроразъемное соединение 9.49","A","1",""
"4","00773407150401020","Полый болт","A","2",""
"5","1081000528","Комбинированная уплотнительная 
шайба 14","A","4",""
"6","00773407150401030","Соединение II","A","2",""
"7","1000400488","Топливный грубый фильтр","A","1",""
"8","1040002436","Болт M12×25-8.8","A","2","GB/T5783-2000"
"9","1040302490","Шайба 12-200HV","B","2","GB/T97.1-2002"
"10","02554607110401010","Кронштейн сепаратора воды и 
масла","A","1",""
"11","1040303581","Шайба 10-300HV","A","2","GB/T96.1-2002"
"12","1040202855","Гайка M8-8","A","2","GB/T889.1-2000"
"13","00771607110410000","Топливный бак в сборе","D","1",""
"14","1040302512","Шайба 10-200HV","A","4","GB/T96.1-2002"
"15","1040002434","Болт M10×25-8.8","A","4","GB/T5783-2016"
"16","1040302480","Шайба 8-200HV","B","4","GB/T96.1-2002"
"17","02150107100401190","Топливная трубка I","A","1",""
"18","1990202279","Хомут червячный 12-20","A","6",""
"19","1040301515","Шайба 8-200HV","A","7","GB/T97.1-2002"
"20","1040002458","Болт M8×40-8.8","A","2","GB/T5783-2000"
"21","1990200692","Пластиковая лента с покрытием","B","6",""
"22","1040300771","Шайба 6-200HV","A","6","GB/T97.1-2002"
"23","1040005844","Болт M6×10-A2-70","A","6","GB/T5783-2000"
"24","1040007303","Болт M8×90-8.8","A","2","GB/T5782-2016"
"25","1040200503","Гайка M8-8","A","9","GB/T889.1-2000"
"26","02552907120401010","Кронштейн топливного фильтра","A","1",""
"27","1040004520","Болт M8×30-8.8","A","3","GB/T5783-2000"
"28","1000401181","Топливный тонкий фильтр","A","1",""
"29","02552007130401010","Топливная трубка III","A","1",""
