"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1040004029","Болт","А","12","JB/T5783-2000"
"2","1040006401","Болт","А","8",""
"3","00772707100201080","Крышка муфты","А","1",""
"4","00774007100201060","Монтажная планка ЭБУ","А","1",""
"5","1040201896","Гайка","А","4","GB/T889.1-2015"
"6","1040002178","Болт","А","4","JB/T5783-2000"
"7","1040301515","Шайба","А","8","GB/T97.1-2002"
"8","1040004518","Болт","А","4","JB/T5783-2000"
"9","1040002435","Болт","А","12","JB/T5783-2016"
"10","1040302489","Шайба","B","12","GB/T97.1-2002"
"11","02554607100210000","Кронштейн двигателя","А","1",""
"12","1009901073","Амортизатор двигателя","А","8",""
"13","1040200161","Гайка","А","4","JB/T889-1986"
"14","00772707100201010","Подкладка","А","4",""
"15","1000300679","Масляный фильтр","А","1",""
"16","00772707100201061","Изогнутая пластинка Ⅳ","А","1",""
"17","1040004644","Болт","А","2","JB/T5783-2016"
"18","00772707100201031","Гнутая пластина Ⅲ","А","1",""
"19","1040302492","Шайба","B","4","GB/T97.1-2002"
"20","1040003912","Болт","А","4","JB/T5783-2000"
"21","00773407140201060","Шайба","B","4",""
"22","1040004519","Болт","А","4","JB/T5783-2000"
"23","1040005846","Болт","А","2","JB/T5783-2000"
"24","1040302490","Шайба","B","16","GB/T97.1-2002"
"25","02553207110201010","Гнутая пластина Ⅴ","А","1",""
"26","1000001592","Дизельный двигатель","B","1",""
"27","1009901109","Пружинная муфта в сборе","А","1",""
"28","00772707100201021","Гнутая пластина Ⅱ","А","1",""
"29","00772707100201051","Гнутая пластина I","А","1",""
