"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"30","1040201896","Гайка","А","11","GB/T889.1-2015"
"32","1040102372","Винт с цилиндрической головкой и 
внутренней шестигранью","А","4","GB/T70.1-2000"
"37","1040300771","Шайба","А","15","GB/T97.1-2002"
"40","02561900110401100","Защитная накладка от падения","B","4",""
"41","1054600077","Игольчатый подшипник","А","8","JB/T5801-2006"
"42","02564400100401020","Вал","B","4",""
"43","02564400100401031","Пластина хомута","А","4",""
"44","1040002424","Болт","А","4","JB/T5783-2000"
"45","1040200503","Гайка","А","4","GB/T889.1-2000"
"46","1040103112","Винт","А","7","GB/T70.1-2000"
"47","00773400130401060","Прокладка III","C","2",""
"48","00772700100410001","Переходный держатель","C","1",""
"49","00771400120420001","Сварная деталь кронштейна","D","1",""
"50","02564400100401015","Шатун","А","2",""
"51","1040006458","Усиленный бол с полукруглой 
головкой квадратным диаметром","А","1","JB/T794-1993"
"52","1040201381","Гайка","А","1","JB/T6170-2000"
"53","1040302490","Шайба","B","4","GB/T97.1-2002"
"54","00773400100401040","Вкладыш","А","1",""
"55","1040301515","Шайба","А","3","GB/T97.1-2002"
"56","1040007514","Болт","А","2","JB/T5782-2000"
"57","00773400130400001","Датчик веса","А","1",""
"58","1040006017","Винт","B","4","GB/T70.1-2000"
"59","00771900100600000","Сварной элемент кронштейна 
гидравлического клапана","B","1",""
"60","00771600101400000","Защитная крышка гидровлического 
клапана платформы","C","1",""
"61","1040102042","Винт","А","2","GB/T70.1-2000"
"62","1040302821","Шайба","А","2","GB/T96.1-2002"
