"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","02554600310400001","Сварной элемент стрелы второй 
секции","А","1",""
"31","1040302489","Шайба","B","50","GB/T97.1-2002"
"37","00772700301601011","Регулировочная шайба","А","4",""
"38","1040000574","Болт","B","6","JB/T5783-2016"
"39","00772700301601021","Регулировочная шайба","А","2",""
"40","00772700301630000","Ползун","А","2",""
"41","00772700301220000","Ползун","А","4",""
"42","1040007470","Болт","B","6","JB/T5783-2000"
"43","00772700301801060","Регулировочная шайба","B","2",""
"44","00772700301601070","Регулировочная шайба","B","6",""
"45","00772500301401021","Ползун","А","2",""
