"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","02554601100200000","Сварка лево-переднего капота","А","1",""
"11","1020605390","Пневматическая пружина","А","22","000815"
"12","1040201382","Гайка","А","24","JB/T6170-2000"
"13","1040301505","Шайба","А","24","JB/T93-1987"
"14","1040302513","Шайба","А","32","GB/T96.1-2002"
"15","00771401110001030","Прижимная планка","C","12",""
"16","1040004520","Болт","А","78","JB/T5783-2000"
"17","1040302480","Шайба","B","136","GB/T96.1-2002"
"18","1040301510","Шайба","А","36","JB/T93-1987"
"19","1040201089","Гайка","А","54","JB/T6170-2000"
"20","00771401112601021","Петля II","А","1",""
"21","00772701104001010","Петля I","А","1",""
"22","00771401112601030","Штифт","А","1",""
"23","1040202856","Гайка","А","24","GB/T889.1-2000"
"24","1040303581","Шайба","А","24","GB/T96.1-2002"
"25","1040004678","Дверной запорный болт","А","12","M10×70"
"27","1040302512","Шайба","А","21","GB/T96.1-2002"
"28","1040200504","Гайка","А","6","GB/T889.1-2000"
"29","1040004507","Болт","А","6","JB/T5783-2016"
"30","1040300771","Шайба","А","53","GB/T97.1-2002"
"31","1040004517","Болт","А","12","JB/T5783-2000"
"32","1040006017","Винт","B","37","GB/T70.1-2000"
"45","00771401110001021","Монтажная плита лево-переднего 
сердечника замка","B","3",""
"46","1109900766","Дверной замок аккумулятора","А","4","50076-C38K"
"47","00772701102401022","Круглая сталь","А","1",""
"48","02554601102601010","Монтажная планка","А","1",""
"49","02554601103200000","Опора капота II","А","1",""
"50","00771901100001330","Тяговый канат","C","4",""
"51","02554601100001100","Планка для установки останова 
двери","А","2",""
"52","02554601103800000","Опора капота VIII","А","1",""
"53","1040200503","Гайка","А","28","GB/T889.1-2000"
