"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"5","02554600310800001","Сварная деталь стрелы четвертой 
секции","А","1",""
"89","1040302489","Шайба","B","38","GB/T97.1-2002"
"92","00772700301801060","Регулировочная шайба","B","6",""
"96","00772700301601070","Регулировочная шайба","B","6",""
"100","1040000574","Болт","B","8","JB/T5783-2016"
"236","00772700301201040","Регулировочная шайба","B","8",""
"237","02554600312004000","Ползун","А","2",""
"238","1040004599","Болт","А","2","JB/T5782-2000"
"239","1040302480","Шайба","B","2","GB/T96.1-2002"
"240","1040201882","Гайка","А","6","JB/T6172-2000"
"241","1040002435","Болт","А","4","JB/T5783-2016"
"242","02554600312002002","Боковая пылезащитная щетка","А","1",""
"243","00772700301830000","Ползун","А","2",""
"244","1040004332","Болт","А","4","JB/T5782-2000"
"245","1040001631","Болт","А","19","JB/T5783-2000"
"246","02554600312002001","Боковая пылезащитная щетка","А","1",""
"247","1040300771","Шайба","А","19","GB/T97.1-2002"
"248","02554600312001001","Верхняя пылезащитная щетка","А","1",""
"249","1040007512","Болт","А","12","JB/T5782-2000"
"250","00772700301201050","Регулировочная шайба","B","4",""
"251","00772500301601040","Верхний ползун I","B","1",""
"252","00772100301201120","Болт","C","6",""
