"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1040100466","Винт","А","2",""
"2","00772700302210004","Гайка","А","1",""
"3","00772500302210001","Поршень","А","1",""
"4","1040301285","Стопорное кольцо","А","2",""
"5","1081002028","О-образное кольцо","А","1",""
"6","1081010601","Уплотнительное кольцо STd","А","1",""
"7","1081010602","Уплотнительное кольцо GSF","А","1",""
"8","1081401776","Направляющее кольцо","А","2",""
"9","1081401777","Направляющее кольцо","А","2",""
"10","02554600312610005","Прокладочное кольцо","А","1",""
"11","02554600312612000","Поршневой шток","А","1",""
"12","02554600312611000","Корпус цилиндра","А","1",""
"13","1040300287","Стопорное кольцо","А","2",""
"14","1054400045","Комбинированная втулка","А","1",""
"15","00772500302210004","Направляющая втулка","А","1",""
"16","1081000455","О-образное кольцо","А","1",""
"17","1040301095","Стопорное кольцо","А","1",""
"18","1081010603","Уплотнительное кольцо STd","А","1",""
"19","1081007678","U-образное кольцо","А","1",""
"20","1054400536","Комбинированная втулка","А","1",""
"21","00772500302210003","Нажимная крышка","А","1",""
"22","1040300065","Шайба","А","16",""
"23","1040100870","Винт","А","16",""
"24","1081201585","Пылезащитное кольцо","А","1",""
