"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1040200503","Гайка","А","15","GB/T889.1-2000"
"2","1000300735","Расширительный бак","А","1",""
"3","02553207110601080","Паровой рукав I","А","1",""
"4","1040004518","Болт","А","2","JB/T5783-2000"
"5","00772507100601140","Гнутая пластина Ⅱ","B","1",""
"6","02553207100601030","Монтажная пластина 
расширительного водяного бака","А","1",""
"7","00772707100601120","Паровой рукав II","А","1",""
"8","1040004637","Болт","А","4","JB/T5787-2000"
"9","00772707100601160","Изогнутая пластинка Ⅳ","B","1",""
"10","02553207100601140","Ветроотбойник","А","1",""
"11","00772707100601170","Планка I","А","1",""
"12","00772707100601180","Планка Ⅱ","А","1",""
"13","00772507100601190","Плита Ⅲ","А","1",""
"14","00772707100601150","Гнутая пластина Ⅲ","B","1",""
"15","1040004520","Болт","А","9","JB/T5783-2000"
"16","1040301515","Шайба","А","34","GB/T97.1-2002"
"17","1040004517","Болт","А","15","JB/T5783-2000"
"18","1040200170","Гайка","А","4","JB/T889-1986"
"19","1040002262","Болт","B","4","JB/T5783-2000"
"20","00771407100601170","Подкладка","А","6",""
"21","1040301031","Шайба","B","8","GB/T96.1-2002"
"22","1000300963","Радиатор в сборе","А","1",""
"23","00772707100601041","Шланг II","А","1",""
"24","1040002435","Болт","А","4","JB/T5783-2016"
"25","1040302489","Шайба","B","8","GB/T97.1-2002"
"26","00772707100601050","Шланг III","А","1",""
"27","1990202282","Хомут спирального червяка","А","2","SX9/W4/25-40"
"28","02553207100601130","Обратный стальной водовод","А","1",""
"29","00772707100601060","Резиновая труба IV","А","1",""
"30","00772507100601021","Водовыпускная труба","А","1",""
"31","1000300966","Вентилятор в сборе","А","1","WFCN20F00397"
"32","1040200504","Гайка","А","4","GB/T889.1-2000"
"33","1040004508","Болт","А","4","JB/T5783-2000"
"34","00771407120601080","Прокладка вентилятора","B","1",""
"35","1990202288","Хомут спирального червяка","А","8","SX12/W3/45-67"
