"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","02554602811401000","Корпус цилиндра","А","1",""
"2","1040100466","Винт","А","1","JB/T78-2000"
"3","1040100172","Винт","А","1","JB/T78-2000"
"4","02554602811400001","Поршень","А","1",""
"5","1081007565","Стопорное кольцо","А","2","PW1-B"
"6","1081000452","О-образное кольцо","А","1","GB/T3452.1-1992"
"7","1081401929","Направляющее кольцо","А","2","HGR"
"8","1081006580","Поршневое уплотнительное кольцо","А","1","780--5003610"
"9","02554602811400002","Направляющая втулка","А","1",""
"10","1040300242","Стопорное кольцо","А","1","GB/T895.1-1986"
"11","1054400117","Комбинированная втулка","А","1","SF-1 9060"
"12","1081000601","О-образное кольцо","А","1","GB/T3452.1-1992"
"13","1081007918","Стопорное кольцо","А","1","PW1"
"14","1081006039","Уплотнительное кольцо STd","А","1","A16MR00900NHLX"
"15","1081007296","U-образное кольцо","А","1","605--4306900"
"16","1081002019","О-образное кольцо","А","1","GB/T3452.1-2005"
"17","1081000745","О-образное кольцо","А","1","GB/T3452.1-1992"
"18","1081200342","Пылезащитное кольцо","А","1","FD090098"
"19","02554602811400003","Нажимная крышка","А","1",""
"20","02554602811402000","Поршневой шток","А","1",""
