"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"36","1039817855","Центральное колесо третьего 
уровня","А","1",""
"37","1049804523","Упорное кольцо для вала 25","А","3",""
"38","1039817856","Планетарное колесо третьего 
уровня","А","3",""
"39","1059800191","Подшипник","А","3",""
"40","1039817857","Планетарный каркас третьего 
уровня","А","1",""
"41","1039817858","Центральное колесо второго уровня","А","1",""
"42","1049804524","Упорное кольцо для вала 75","А","1",""
"43","1049804525","Упорное кольцо для вала 30","А","3",""
"44","1059800192","Подшипник","А","3",""
"45","1039817859","Планетарное колесо второго уровня","А","3",""
"46","1039817860","Планетарный каркас второго уровня","А","1",""
"47","1039817861","Центральное колесо третьего 
уровня","А","1",""
"48","1049804526","Упорное кольцо для вала 65","А","1",""
"49","1049804527","Упорное кольцо для вала 40","А","4",""
"50","1039817862","Планетарное колесо третьего 
уровня","А","4",""
"51","1059800193","Подшипник","А","4",""
"52","1039817863","Планетарный каркас третьего 
уровня","А","1",""
"53","1089800318","О-образное кольцо d80*2.65","А","1",""
