"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"100","02554000700210000","Буксируемая цепь консоли","А","1",""
"101","02554000700220000","Буксирная труба","А","1",""
"102","1040302489","Шайба","B","51","GB/T97.1-2002"
"103","1040103375","Винт","А","10","GB/T70.2-2000"
"104","1040200504","Гайка","А","20","GB/T889.1-2000"
"105","1040101995","Винт","А","4","GB/T70.1-2000"
"106","02554600701801111","Верхний трубный хомут","B","3",""
"107","02554600701801121","Средний трубный зажим","C","3",""
"108","02554600701801131","Нижний трубный хомут","C","3",""
"109","00772700700201110","Зажимная планка трубопровода","А","3",""
"110","1040004581","Болт","А","6","JB/T5783-2000"
"111","00772700700201160","Вкладыш","D","1",""
"112","1040200503","Гайка","А","8","GB/T889.1-2000"
"113","1040102737","Винт","А","2","GB/T70.1-2000"
"114","02554000700201010","Монтажная пластина ползуна","А","1",""
"115","00772700700401071","Нижний ползун","B","1",""
"116","02554000700201020","Монтажная пластина ползуна","А","1",""
"117","00772700700401091","Верхний ползун","B","1",""
"118","1040103116","Винт","А","6","GB/T70.1-2000"
"119","1040302512","Шайба","А","4","GB/T96.1-2002"
"120","00772700700401291","Регулировочная шайба","А","2",""
"121","1040002435","Болт","А","4","JB/T5783-2016"
"122","02554000700230000","Монтажный кронштейн 
буксируемой цепи","А","1",""
"123","02554000700201030","Кронштейн цепи","А","5",""
"124","1040002434","Болт","А","19","JB/T5783-2016"
"125","1040301502","Шайба","А","23","JB/T93-1987"
"126","02554000700201040","Опорная планка","А","1",""
