"№ п/п","Код материалов","Наименование и спецификация","Версия","Кол-во","Примечание"
"1","02552905200801040","Сборка узлов аварийного насоса","А","1",""
"2","1040302489","Шайба","B","2","GB/T97.1-2002"
"3","1040301502","Шайба","А","2","JB/T93-1987"
"4","1040002433","Болт","А","2","JB/T5783-2000"
