"Item","Part No.","Description","Qty."
"1","09340026","Decal, Symbols-Refer the operator to the instructions for 
use","2"
"2","09440094","Decal, Symbols-Tip-over hazard, outrigger","1"
"3","09340028","Decal, Instructions-Directional arrows","1"
"4","09340070","Decal, Symbols-Non operating hand position","3"
"5","09440090","Decal, Symbols-Tip-over hazard, tilt-alarm","1"
"6","09440091","Decal, Symbols-General safety rules","1"
"7","09440089","Decal, Label-Lanyard anchorage point","10"
"8","09410149","Decal, Symbols-Tip-over hazard, use outrigger","2"
"9","09440362","Decal, Label-Capacity 750kg","1"
"10","09430016","Decal, Symbols-Crushing hazard","10"
"11","09410051","Decal, Symbols-Do not alter or disable limit switch","1"
"12","09410043","Decal, Symbols-Collision hazard","4"
"13","09410042","Decal, Symbols-Crushing hazard","4"
"14","09310422","Decal, Instructions-Maximum outrigger load: 
3680kg(JCPT1912DC)","4"
"","09310338","Decal, Instructions-Maximum outrigger load: 3830kg 
(JCPT2212DC)","4"
"15","09310420","Decal, Instructions-Maximum wheel load: 
3680kg(JCPT1912DC)","4"
"","09310199","Decal, Instructions-Maximum wheel load: 3830kg 
(JCPT2212DC)","4"
"16","09310348","Decal, Instructions-Grease filling port","1"
"17","09310098","Decal, Symbols-Platform power instructions","1"
"18","09410146","Decal, Symbols-Crushing hazard","8"
"19","09410050","Decal, Symbols-Injection hazard","1"
"20","09410049","Decal, Symbols-Electrocution hazard","2"
"21","09410147","Decal, Symbols-Charge warning","1"
"22","09410048","Decal, Symbols-Explosion/burn hazard","2"
"23","09430008","Decal, Symbols-Safety arm","1"
"24","09330020","Decal, Instructions-Grease filling port","1"
