"Item","Part No.","Description","Qty."
"1","09340001","Decal, Notice-Keep the manual with the machine","1"
"2","09440119","Decal, Danger-Tip-over hazard, tilt-alarm","1"
"3","09440001","Decal, Danger-General safety rules","1"
"4","09340070","Decal, Symbols-Non operating hand position","3"
"5","09340003","Decal, Instructions-Refer the operator to the instructions 
for use","2"
"6","09440011","Decal, Label-Lanyard anchorage point","10"
"7","09410149","Decal, Symbols-Tip-over hazard, use outrigger","2"
"8","09440362","Decal, Label-Capacity 750kg","1"
"9","09430007","Decal, Symbols-Crushing hazard","10"
"10","09410005","Decal, Danger-Do not alter or disable limit switch","1"
"11","09420005","Decal, Warning-Collision hazard","4"
"12","09410069","Decal, Warning-Crushing hazard, outrigger","4"
"13","09410157","Decal, Symbols-Outrigger using warning","4"
"14","09310338","Decal, Instructions-Maximum outrigger load 3830kg 
(JCPT2212DC)","4"
"","09310422","Decal, Instructions-Maximum outrigger load 3680kg 
(JCPT1912DC)","4"
"15","09310199","Decal, Instructions-Maximum wheel load 3830kg 
(JCPT2212DC)","4"
"","09310420","Decal, Instructions-Maximum wheel load 3680kg 
(JCPT1912DC)","4"
"16","09310345","Decal, Instructions-Grease filling port","1"
"17","09410148","Decal, Symbols-Crushing hazard","8"
"18","09310148","Decal, Instructions-Emergency","1"
"19","09410071","Decal, Warning-Injection hazard","1"
"20","09410140","Decal, Warning-Filling water warning","2"
"21","09410001","Decal, Danger-Explosion/burn hazard","2"
"22","09430028","Decal, Danger-Safety arm","1"
"23","09330016","Decal, Instructions-Grease filling port","1"
"24","09640143","Decal, Cosmetic-JCPT2212DC (JCPT2212DC)","2"
