"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","№ позиции"
"1","00771106200210000","Электрический шкаф
управления поворотной
платформой 1","1","1"
"2","1020304982","Зуммер","1","14"
"3","1029906298","Концевой выключатель угла
поворота поворотной
платформы","1","23"
"4","1021404019","Датчик угла наклона кузова
относительно горизонта","1","24"
"5","00771106200420000","Пучок кабеля ECU","1","28"
"6","00771106200610000","Реконструкция кабеля","1","31"
"7","00771106200430000","Пучок кабеля стрелы","1","32"
"8","1020404399","Индикатор работы","1","34"
