"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","№ позиции"
"1","00771106210210000","Электрический шкаф
управления поворотной
платформой","1","1"
"2","1020304982","Зуммер/GFB-202-G","1","14"
"3","1029906298","Концевой выключатель угла
поворота поворотной
платформы","1","23"
"4","1021404019","Датчик угла наклона кузова
относительно
горизонта/AMU-CBO","1","24"
"5","00771106210420000","Пучок кабеля ECU","1","28"
"6","00771106200610000","Реконструкция кабеля","1","31"
"7","00771106200430000","Пучок кабеля стрелы","1","32"
"8","1020404399","Индикатор
работы/JD90A-H03Y012","1","34"
