"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","№ позиции"
"1","1029902634","Отсечная втулка/DSLCT-0032","1","1"
"2","1029900402","Отсечная втулка ITT/HM 26ITT","1",""
"3","1029902633","Маленький зажим/маленький
штырь «папа» DSLCT-0202","14",""
"4","1029902631","Большой зажим/большой
штырь «папа» DSLCT-0102","4",""
"5","1022200646","Аксессуар
соединителя/1011-227-0205","5","2, 3, 7, 8, 11"
"6","1020700951","Соединитель/DT06-2S","5",""
"7","1022200194","Вторичный замок/W2S","5",""
"8","1020700543","Зажим/1062-16-0122","10",""
"9","1022200647","Пластиковая задняя
крышка/1011-237-0405","1","4"
"10","1020700953","Отсечная втулка/DT04-4P","1",""
"11","1020700954","Вторичный замок/W4P","1",""
"12","1020701495","Зажим/1060-16-0122","4",""
"13","1029900002","Отсечная втулка/282189-1","1","10"
"14","1029900129","Зажим/927770-1","2",""
"15","/","Водонепроницаемый
штекер/828904-1","1",""
"16","1020703635","Защитная оболочка/7807128","1",""
"17","1020703635","Защитная оболочка/7807128","1","12"
"18","1022202106","Отсечная втулка/282080-1","1",""
"19","1029900316","Зажим/282110-1","2",""
"20","1029900317","Водонепроницаемый
штекер/281934-2","1",""
