"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","№ позиции"
"1","00771106200210000","Электрический шкаф
управления платформой","1","1"
"2","1020521022","Педальный переключатель","1","3"
"3","1021404016","Датчик веса","1","5"
