"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","№ позиции"
"1","1029905348","Аккумулятор","1","1"
"2","1020605356","Кольцевой предохранитель","2","2"
"","0067220632181001A-c","Кронштейн кольцевого
предохранителя","2",""
"","1020402443","Изоляционная гайка","2",""
"3","00771106200450050","Провод от вспомогательного
силового насоса к
предохранителю","1","3"
"4","1020305006","Контактор постоянного тока","1","4"
"5","00771106200450020","Провод от отрицательного
полюса аккумулятора к
ручному переключателю","1","5"
"6","1029900667","Ручной переключатель","1","6"
"7","00771106200450030","Провод от ручного
переключателя к заземлению","1","7"
"8","00771106200450060","Провод от двигателя к
отрицательному заземлению","1","8"
"9","00773406200450090","Провод от реле к
подогревателю","1","10"
"10","00771106200450070","Провод от аккумулятора к
предохранителю подогрева и
генератору","1","11"
"11","00771106200450010","Провод от аккумулятора к
стартерному двигателю","1","12"
