"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","№ позиции"
"1","00771106200410000/
00771106210410000","Пучок кабеля поворотной
платформы","1","1"
"2","1020516032","Концевой выключатель длины
стрелы (убранный)","1","2"
"3","1020516032","Концевой выключатель длины
стрелы (ограниченный)","1","3"
"4","1020700540","Оконечное сопротивление","1","4"
"5","1021404017","Датчик длины стрелы","1","5"
"6","1021404018","Датчик угла наклона стрелы
относительно горизонта","1","6"
"7","1020516032","Концевой выключатель
ослабления стального каната","1","7"
