"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","№ позиции"
"1","1020700542","Кабельная
маркировка/HD36-24-31SE-059","1","1"
"2","1020700543","Контактный
штырь/1062-16-0122","11",""
"3","1022200446","23-отверстный
соединитель/HD36-24-23ST","1","2"
"4","1020700543","Контактный
штырь/1062-16-0122","9",""
"5","1022200647","Пластиковая задняя
крышка/1011-237-0405","1","4"
"6","1020700953","Оболочка розетки/DT04-4P","1",""
"7","1022260075","Вторичный замок/W4P","1",""
"8","1020700969","Контактный
штырь/1060-16-0122","2",""
"9","1022200646","Аксессуар
соединителя/1011-227-0205","1","5"
"10","1020700951","Соединитель/DT06-2S","1",""
"11","1022200194","Вторичный замок/W2S","1",""
"12","1020700543","Контактный
штырь/1062-16-0122","2",""
"13","1020703399","Цилиндрический
соединитель/HD36-18-14SN","1","6"
"14","1020700543","Контактный
штырь/1062-16-0122","11",""
