"№ п/п","Код мат-ла","Наименование и спецификация","Кол-во
штук","№ позиции"
"1","1029903316","Оболочка розетки/DSLCT-4801","1","1"
"2","1029902632","Маленький зажим/маленький штырь
«мама» DSLCT-0201","46",""
"3","1029900402","Отсечная втулка ITT/HM 26ITT","1",""
"4","1029902634","Отсечная втулка/DSLCT-032","1","2"
"5","1029900402","Отсечная втулка ITT/HM 26ITT","1",""
"6","1029902632","Большой зажим/маленький штырь
«мама» DSLCT-0201","23",""
"7","1029902630","Маленький зажим/большой штырь
«мама» DSLCT-0101","6",""
"8","1029902634","Отсечная втулка/DSLCT-032","1","28"
"9","1029900402","Отсечная втулка ITT/HM 26ITT","1",""
"10","1029902632","Большой зажим/маленький штырь
«мама» DSLCT-0201","14",""
"11","1029902630","Маленький зажим/большой штырь
«мама» DSLCT-0101","4",""
"12","1020703399","Цилиндрический
соединитель/HD36-18-14SN","1","31"
"13","1020700543","Контактный штырь/1062-16-0122","8",""
"14","1020702639","Соединитель
DEUTSCH/HD34-18-14PN","1","32"
"15","1020700969","Контактный штырь/1060-16-0122","11",""
"16","1020703635","Защитная оболочка/7807128","1","3"
"17","1022202106","Отсечная втулка/282080-1","1",""
"18","1029900316","Зажим/282110-1","2",""
"19","1029900317","Водонепроницаемый штекер/281934-2","1",""
"20","1022200646","Аксессуар соединителя/1011-227-0205","21","4,……, 20, 25, 26,
27, 29, 30, 33"
"21","1020700951","Соединитель/DT06-2S","21",""
"22","1022200194","Вторичный замок/W2S","21",""
"23","1020700543","Контактный штырь/1062-16-0122","42",""
"24","1020701702","Кабель датчика/EVC070","1","24"
