"№ п/п","Код материалов","Наименование и спецификация","","Кол-во  Примечание"
"1","1040004603","Болт M8×75-8.8","2","GB/T5782"
"2","00773700400001390  Упорная планка I","","1",""
"3","00773700700001021","Зажим 
трубы  прямоугольного 
сечения  для 
буксируемой цепи I","1",""
"4","00773700700001091","Зажим 
трубы  прямоугольного 
сечения  для 
буксируемой цепи II","1",""
"5","1040301515","Шайба 8-200HV","8","GB/T97.1"
"6","1040200503","Гайка M8-8","9","GB/T889.1"
"7","1040004557","Болт M8×50-8.8","2","GB/T16674.1"
"8","00773400700001050  Изогнутая монтажная панель","","1",""
"9","00773400700001020  Гнездо резиновой трубы","","1",""
"10","1040102737","Винт    M8×30-8.8","1","GB/T70.1"
"11","1040102751","Винт    M5×25-8.8","8","GB/T70.1"
"12","1040300514","Шайба 5-200HV","8","GB/T97.1"
"13","1040201904","Гайка M5-8","8","GB/T889.1"
"14","1040004519","Болт M8×25-8.8","4","GB/T5783"
"15","1040302480","Шайба 8-200HV","4","GB/T96.1"
"16","00773700700400001  Кронштейн","","1",""
"17","00773700700001081  Механизм буксируемой цепи","","1",""
"17A","1109900986","Соединитель буксируемой цепи I 
E4.421.12.1.1","1",""
"17B","1109900987","Соединитель буксируемой цепи II 
E4.421.12.1.2","1",""
"17C","1109900988","Внешняя боковая пластина цепи E4.42.01","35",""
"17D","1109900990","Внутренняя боковая пластина цепи 
E4.42.02.075.0","35",""
"17E","1109900991","Горизонтальная 
перегородка 
буксируемой 
цепи 385.12","70",""
"17F","1109900993","Вертикальная перегородка буксируемой цепи 
42.1","35",""
"18","1040103076","Винт    M8×16-8.8","4","GB/T70.3"
"19","00773700700001100  Подкладка","","1",""
"21","00773700700001012  Труба прямоугольного сечения","","1",""
"22","00773700700001070  Переходная планка","","1",""
