"№ п/п","Код материалов","Наименование и спецификация","","Кол-во  Примечание"
"25","1020404399","Концевой выключатель 1 положения 
убрания башенной стрелы","1",""
"26","/","Лампа предупреждения работы","/",""
"27","/","Концевой выключатель верхнего предела 
башенной стрелы","/",""
"28","/","Положительный полюс аккумулятора","/",""
"29","/","Металлизация","/",""
"30","1020304982","Селекторный клапан выравнивания","1",""
"31","","Реле насоса вспомогательной силовой 
установки","",""
"32","","Дорожная осветительная лампа","",""
"33","","Пучок кабелей ECU","",""
