"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"31","1040302490","Шайба 12-200HV","4","GB/T97.1"
"32","1040103112","Винт    M8×25-8.8","7","GB/T70.1"
"33","1040301515","Шайба 8-200HV","9","GB/T97.1"
"34","00773400100401040","Вкладыш","1",""
"35","00773400130401060","Колодка III","2",""
"36","00773400130401040","Колодка I","8",""
"37","1054600077","Игольчатый подшипник","8",""
"38","02564400100401010","Шатун","1",""
"39","02564400100401020","Вал","4",""
"40","02564400100401030","Скоба вала","4",""
"41","1040004646","Болт M10×15-8.8","4","GB/T5783"
"42","1080000005","Маслянка","8",""
"43","1040201111","Гайка M24-10","1","GB/T889"
"44","1040301511","Шайба 24-200HV","1","GB/T97.1"
"45","00773400100401030","Регулировочная шайба","2",""
"46","00773400130410000","Переходный держатель","1",""
"47","1040006524","Болт M10×25-10,9","8",""
"48","1040004505","Болт M24×280-10,9","1","GB/T5782"
"49","1040004522","Болт M8×50-8.8","1","GB/T5783"
"50","00775600101801010","Личинка замка","1",""
"51","00773400100230000","Вращающаяся дверь","1",""
"52","00775600101801020","Пружина","1",""
"53","00773600130201010","Отбойный упор","1",""
"54","1040300735","Шайба 6-200HV","2","GB/T96.1"
"55","1040103173","Винт    M6×50-8.8","2",""
"56","1040102372","Винт  с  цилиндрической  головкой  и 
внутренней шестигранью 
 
M6/20-A2-70","4","GB/T70.1"
"57","1999904986","Документальная коробка 355×280×55","1",""
"58","1022397103","Открытая гофрированная труба","1",""
"59","/","Электрический шкаф управления 
платформой","1",""
"60","/","Датчик веса","1",""
