"№ п/п","Код материалов","","Наименование и спецификация  Кол-во","Примечание"
"20","1029902634","32-жильный кабель в оболочке","1","Пучок кабеля стрелы"
"21","1020304584","Реле мощности","1","Источник питания 
системы"
"22","1020304584","Реле мощности","1","Пусковой мотор"
"23","1020304584","Реле мощности","1","Радиатор"
"24","1020304584","Реле мощности","1","Топливный насос"
"25","1020103903","Контроллер","1",""
"26","1020103955","Узел соединителя","1",""
