"№ п/п","Код материалов","Наименование и спецификация","","Кол-во  Примечание"
"31","00773602800001010  Крышка рамы","","1",""
"32","1040302480","Шайба 8-200HV","13","GB/T96.1"
"32","1040201884","Гайка M24-8","4","GB/T6170"
"33","1040302483","Шайба 24-200HV","4","GB/T96.1"
"34","00773702821200000  Противовес шасси II","","1",""
"35","1040004517","Болт M8×16-8.8","43","GB/T5783"
"36","1040301515","Шайба 8-200HV","42","GB/T97.1"
"37","00771102810001100","Крышка","2",""
"38","00771102800001130","Крышка","1",""
"39","00771102810001120","Крышка","2",""
"40","1040102055","Винт M16×45-10.9-DKL","24","GB/T70.1"
"41","1040302492","Шайба 16-200HV","24","GB/T97.1"
"42","1030202175","Редуктор","4",""
"43","1040202297","Гайка M16×1,5-10(Spiralock)","36","GB/T6177.2"
"44","00771102810001110","Крышка","4",""
"44","00773702820200001  Сварная деталь рамы","","1",""
"45","","00773402800001280  Монтажная панель блок клапанов шасси","1",""
"46","1040003572","Болт M20×55-10.9-DKL","8","GB/T5783"
"47","1040302493","Шайба 20-200HV","8","GB/T97.1"
"48","00773702821000001  Противовес шасси I","","1",""
"49","00773702820600000  Плавающий цилиндр","","2",""
"50","1089900652","Уплотнительная полоса","1",""
"51","204060296","Автомобильное трансмиссионное масло 
Great Wall","1",""
