"№ п/п","Код материалов","Наименование и спецификация","","Кол-во  Примечание"
"1","1030800695","Шина","2",""
"2","00773602801200000  Поворотная цапфа    II","","1",""
"3","1040002446","Болт M16×40-8.8","1","GB/T5783"
"4","00773400400001250  Стопорный штифт","","1",""
"5","00773702800001330  Штифт","","1",""
"6","00773702800001220  Подшипник, не требующий смазки","","2",""
"7","00773702800400001  Сварные изделия переднего моста","","1",""
"8","","00773402810001151  Фиксирующее кольцо маслопровода мотора","2",""
"9","1040200503","Гайка M8-8","4","GB/T889.1"
"10","00773402810001142  Опора маслопровода мотора    I","","2",""
"11","1040002437","Болт M12×35-8.8","4","GB/T5783"
"12","00773400200001070  Стопорный штифт","","4",""
"13","1040004511","Болт M12×30-8.8","4","GB/T5783"
"14","1040002555","Болт M6×16-A2-70","4","GB/T5783"
"15","00773602800001030","Верхняя торцевая крышка поворотной 
цапфы","2",""
"16","00773700400001130  Подшипник","","4",""
"17","00773602800800000  Поворотная цапфа    I","","1",""
"18","00773702800001020  Штифт","","2",""
"19","00773702800001031","Верхняя износостойкая пластина 
поворотной цапфы","2",""
"20","00773702820001010  Передняя крышка","","1",""
"21","00773702800001201  Нижняя износостойкая пластина","поворотной цапфы","2",""
"22","00773702800001150  Штифт Ⅰ","","2",""
"23","00773702800001340  Штифт VI","","6",""
"24","00773402810001260  Подшипник","","6",""
"25","00771600301001250  Стопорный штифт","","6",""
"26","1030800696","Шина","2",""
"27","1040002433","Болт M10×20-8.8","6","GB/T5783"
"28","00773702802000001","Рулевой привод","1",""
"29","00773602801400000","Гидроцилиндр рулевого управления","2",""
"30","1040004518","Болт M8×20-8.8","15","GB/T5783"
