"№ п/п","Код материалов","Наименование и спецификация","","Кол-во  Примечание"
"1","1040006017","Винт M6×25-A2-70","2",""
"2","1040300771","Шайба 6-200HV","16","GB/T97.1"
"3","1040201896","Гайка M6-8","10","GB/T889.1"
"4","1040200503","Гайка M8-8","7","GB/T889.1"
"5","1040302480","Шайба 8-200HV","4","GB/T96.1"
"6","00773400100261050","Подшипник","2",""
"7","00773400100261060","Болт","2",""
"8","00771100110230200","Упорная планка II","1",""
"9","00771100110231000","Защитный кожух","1",""
"10","00771100110230400","Упор","1",""
"11","1040005844","Болт M6×10-A2-70","4","GB/T5783"
"12","00771100110240000","Сварная деталь затяжки","1",""
"13","1040200504","Гайка M10-8","4","GB/T889.1"
"14","00772700100001020","Каучуковая прокладка","2",""
"15","1040302512","Шайба 10-200HV","8","GB/T96.1"
"16","1040004508","Болт M10×45-8.8","4","GB/T5783"
"17","00773400130810001","Свариваемые изделия платформы","1",""
"18","1040004672","Болт M5×10-8.8","12","GB/T5783"
"19","1029904911","Пружинная подстилка 5","12","GB93-304"
"20","1040300514","Шайба 5-200HV","12","GB/T97.1"
"21","1101000163","Пружинная петля","2",""
"22","1040005852","Болт M12×20-8.8","2","GB/T5787"
"23","00773400130600000","Сварной элемент кронштейна 
гидравлического клапана","1",""
"24","02564400100420000","Сварная деталь кронштейна","1",""
"25","1040201163","Гайка M12-10","6","GB/T889.1"
"26","1040302821","Шайба 12-200HV","4","GB/T96.1"
"27","1040004556","Болт M12×35-8.8","4","GB/T16674.1"
"28","1040006458","Усиленный полукруглый болт с 
квадратной головкой   
M12×50-8.8 (полная резьба)","1",""
"29","1040201381","Гайка M12-8","1","GB/T6170"
"30","1040001703","Болт M12×65-10,9","2","GB/T5782"
