"№ п/п","Код материалов","Наименование и спецификация","","Кол-во  Примечание"
"1","/","Электрический шкаф управления 
поворотной платформой 1","/",""
"2","/","Электрический шкаф управления 
поворотной платформой 2","/",""
"3","1020202125","Электромагнитный разгрузочный клапан","1",""
"4","/","Клапан втягивания основной стрелы","/",""
"5","/","Клапан поворота вправо поворотной 
платформы","/",""
"6","/","Клапан поворота вправо передних колес","/",""
"7","/","Подъем главного клапана управления 
действием платформы 1","/",""
"8","/","Уровень топлива","/",""
"9","/","Клапан подъема башенной стрелы","/",""
"10","/","Клапан поворота влево поворотной 
платформы","/",""
"11","/","Клапан поворота влево передних колес","/",""
"12","/","Спуск главного клапана управления 
действием платформы 2","/",""
"13","/","Клапан подъема основной стрелы","/",""
"14","/","Клапан выдвижения основной стрелы","/",""
"15","/","Концевой выключатель 2 положения 
убрания башенной стрелы","/",""
"16","/","Радиатор","/",""
"17","/","Плавающий клапан управления","/",""
"18","/","Двухскоростный клапан","/",""
"19","/","Тормозной клапан","/",""
"20","/","Датчик наклона кузова","/",""
"21","/","Угловой концевой выключатель","/",""
"22","1021404019","Аварийный зуммер","",""
"23","1020516032","Топливный насос","1",""
"24","00773606200420000 Водомаслоотделитель","","1",""
