"№ п/п","Код материалов","Наименование и спецификация","","Кол-во  Примечание"
"1","1040004517","Болт M8×16-8.8","14","GB/T5783"
"2","00773600800001090","Планка для установки останова двери 
Пластина I","2",""
"3","1040004619","Болт M8×35-8.8","2","GB/T5783"
"4","00773600800001060  Ограничительный","планка","1",""
"5","1040200503","Гайка M8-8","4","GB/T889.1"
"6","1040101492","Винт    M10×25-8.8","2","GB/T70.1"
"7","00773600800001010","Вкладыш для поддона","1",""
"8","00773400800001221","Регулировочная шайба","2",""
"9","1040002435","Болт M10×35-8.8","1","GB/T5783"
"10","00773600800400000","Кронштейн двигателя","1",""
"11","1040200113","Гайка M10-8","9","GB/T6170"
"12","00773400830200000  Установка двигателя","","1",""
"13","00773400800001042  Поддон аккумулятора","","1",""
"14","1040004520","Болт M8×30-8.8","2","GB/T5783"
"15","00773400800001131","Тяга аккумулятора","4",""
"16","00773400800001200  Опора переключателя","","1",""
"17","1040001631","Болт M6×20-A2-70","2","GB/T5783"
"18","00773400800001280  Нажимная плита аккумулятора","","2",""
"19","00773400800001171  Перегородка для аккумулятора","","1",""
"20","1040300771","Шайба 6-200HV","6","GB/T97.1"
"21","1040201896","Гайка M6-8","6","GB/T889.1"
"22","00773600800600001  Опора бака гидравлического масла","","1",""
"23","00773600801600000  Опора бандажа","","1",""
"24","1040301515","Шайба 8-200HV","10","GB/T97.1"
"25","1040002433","Болт M10×20-8.8","12","GB/T5783"
"26","1040302512","Шайба 10-200HV","14","GB/T96.1"
"27","00773600802201010  Опора шкафа","электрического управления","1",""
"28","1040201089","Гайка M8-8","4","GB/T6170"
"29","1040004590","Болт M8×14-8.8","8","GB/T5783"
"30","00773700830001200","Кронштейн трубопровода","1",""
"31","00773700800001600","Кронштейн трубопровода","1",""
"32","00773400800001180  Ограничительная шпилька поворота","","1",""
