"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1010400309","Радиатор","1",""
"2","1140101464","Прямой соединитель","2",""
"3","1140101478","Прямоугольный композитный штуцер","1",""
"4","1040301515","Шайба 8","4","GB/T97.1"
"5","1040004517","Болт M8×16-8,8","4","GB/T5783"
