"№ п/п","Код материалов","Наименование и спецификация","","Кол-во  Примечание"
"33","1040100714","Винт    M12×130-8.8","1","GB/T70.1"
"34","00773700830001020  Ограничивающая опора поворота","","1",""
"35","1040002738","Болт M6×12-A2-70","2","GB/T5783"
"36","1040002555","Болт M6×16-A2-70","1","GB/T5783"
"37","1040300735","Шайба 6-200HV","1","GB/T96.1"
"38","00773400800001150  Фрикционная накладка","","1",""
"39","00773400800001010  Подшипник","","2",""
"40","00773400801400000  Штифт поддона","","1",""
"41","1040002434","Болт M10×25-8.8","1","GB/T5783"
"42","00773400300001200  Стопорный штифт","","1",""
"43","00773600800001030  Вал поддона","","1",""
"44","00773600800001040  Вал II","","2",""
"45","00773400400001250  Стопорный штифт","","4",""
"46","1040004519","Болт M8×25-8.8","10","GB/T5783"
"47","00773600801800000  Ограничивающая опора поворота I","","1",""
"48","1040004570","Болт M16×30-8.8","4","GB/T5783"
"49","00773700800001030  Штифт Ⅰ","","2",""
"50","00773700830200001  Сварной элемент поворотной платформы","","1",""
"51","00773700830400000  Защитный кожух трубопровода","","1",""
"52","1040004511","Болт M12×30-8.8","3","GB/T5783"
"53","1040302490","Шайба 12-200HV","3","GB/T97.1"
"54","00773600800001080  Монтажная панель поворотного блока","","1",""
"55","1040302489","Шайба 10-200HV","6","GB/T97.1"
"56","00773700800001210  Амортизационная подушка","","2",""
"57","00773700800001021  Регулировочная подкладка","","6",""
"58","00773600802000000  Ограничивающая опора II","","2",""
"59","00773700830001301  Монтажная панель главного клапана","","1",""
"60","00773600800001100  Монтажная панель соединителя","","1",""
"61","00773600801400000  Кронштейн останова двери II","","1",""
"62","1040102741","Винт    M10×40-8.8","6","GB/T70.1"
"63","00773600800001050","Монтажная планка для клапана ходового 
управления","1",""
"64","00773600800800000  Опора бака топлива","","1",""
