"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"31","00773700300001040  Штифт IV","","1",""
"32","00773700301000000  Верхний гидроцилиндр выравнивания","","1",""
"33","00773400300001210  Подшипник","","8",""
"34","1040002437","Болт M12×35-8.8","2","GB/T5783"
"35","00773400200001070  Стопорный штифт","","2",""
"36","00773700300001010  Шкворень I","","1",""
"37","00773700300400004  Стрела выдвижения-втягивания","","1",""
"38","1040004520","Болт M8×30-8.8","2","GB/T5783"
"39","1040301515","Шайба 8-200HV","6","GB/T97.1"
"40","00773700300001100  Подпирающая плита гидроцилиндра","выдвижения-втягивания","1",""
"41","1040004518","Болт M8×20-8.8","4","GB/T5783"
"42","00773700300001181  Регулировочная шайба цилиндра II","","2",""
"43","00773700300001171  Регулировочная шайба цилиндра I","","4",""
"44","00773700302000000  Правая скоба","","1",""
"45","1040002434","Болт M10×25-8.8","8","GB/T5783"
"46","00773700302200000  Левая скоба","","1",""
"47","00773400300001200  Стопорный штифт","","2",""
"48","00773700300001051  Штифт телескопического цилиндра","","2",""
"49","","00773700301200000  Гидроцилиндр выдвижения-втягивания","1",""
"50","00773700300600000  Гидроцилиндр изменения вылета","верхней стрелы","1",""
"51","00773400300001070  Подшипник","","6",""
"52","00773700300001030  Шкворень III","","1",""
"53","00773400400001250  Стопорный штифт","","1",""
"54","1040002446","Болт M16×40-8.8","1","GB/T5783"
"55","00773700300800000  Нижний гидроцилиндр выравнивания","","1",""
"56","00773700300001020  Шкворень II","","1",""
"57","1040004591","Болт M4×8-8.8","4","GB/T5783"
"58","1040302410","Шайба 4-200HV","4","GB/T97.1"
"59","00771400340001090  Капот датчика","","1",""
"60","00773700302400001  Защитный кожух","","1",""
"61","1040102778","Винт    M6×10-8.8","3","GB/T70.1"
