"Item","Part No.","Description","Qty."
"1","10022058","Ground control box weldment","1"
"2","00002712","Nut  GB/T 6170  M4","8"
"3","00000779","Washer  GB/T 93  4","10"
"4","00000778","Washer  GB/T 97.1  4","22"
"5","00000665","Alarm","1"
"6","10021593","Ground control box cover","1"
"7","00001296","Latch, Column","2"
"8","00008262","Display","1"
"9","00000654","Toggle switch","1"
"10","00000760","Key switch","1"
"--","00000753","Key switch head","1"
"--","00000755","Base with 1 NO contact","1"
"--","00003050","Key","1"
"11","00002341","Pushbutton switch","3"
"--","00002342","Pushbutton switch head","1"
"--","00002346","Base with 1 NO contact","1"
"12","00008699","Controller","1"
"13","00002319","Screw  GB/T 818  M5×10 - H","4"
"14","00000606","Washer  GB/T 93  5","4"
"15","00000605","Washer  GB/T 97.1  5","4"
"16","00002026","Screw  GB/T 818  M4×10 - H","2"
"17","00000659","End, Straight","6"
"18","00000660","End, Fixation","2"
"19","10004977","Terminal rail","1"
"20","00002247","Nut  GB/T 6170  M6","6"
"21","00000621","Washer  GB/T 93  6","4"
"22","00000620","Washer  GB/T 97.1  6","8"
"23","10021595","Mounting plate","1"
"24","00001236","Nut  GB/T 889.1  M4","4"
