"Item","Part No.","Description","Qty."
"1","09140032","Decal, Platform control panel","1"
"2","00000754","Red mushroom head","1"
"3","00000752","Base with 1 NC contact","1"
"4","00008919","Joystick","1"
"5","00002026","Screw  GB/T 818  M4×10 - H","6"
"6","00009356","Control module","1"
"7","00002720","Connector","1"
"--","00002716","Hood","1"
"--","00002717","Female insert","1"
"--","00002718","Male insert","1"
"--","00002719","Housing","1"
"--","00004899","Water-proof joint  M25","1"
"8","00000778","Washer  GB/T 97.1  4","4"
"9","00000779","Washer  GB/T 93  4","4"
"10","00001054","Screw  GB/T 70.1  M4×12","4"
"11","00005066","Cover bottom","1"
"12","00001060","Screw  GB/T 818  M6×12 - H","4"
"13","00005068","Main board","1"
"14","00003548","Screw  GB/T 818  M3×6 – H","5"
"15","00005070","Alarm","1"
"16","00005067","Enclosure","1"
