"Item","Part No.","Description","Qty."
"1","09340001","Decal, Notice-Keep the manual with the machine","1"
"2","09440059","Decal, Label-Lanyard anchorage point","4"
"3","09440157","Decal, Warning-Tip-over hazard","1"
"4","09440159","Decal, Warning-Crushing hazard/ Falling hazard","1"
"5","09440153","Decal, Danger-Tip-over hazard, tilt-alarm","1"
"6","09440914","Decal, Label-Capacity 440 lbs      200kg","1"
"7","09440155","Decal, Danger-Electrocution hazard","1"
"8","09440302","Decal, Warning-Max. manual force 90 lbs      400N (Indoor)   
45 lbs    200N (Outdoor)","1"
"9","09340003","Decal, Instructions-Refer the operator to the instructions 
for use","2"
"10","09340005","Decal, Instructions-Platform controller normal position","1"
"11","09430018","Decal, Danger-Do not alter or disable limit switch","2"
"12","09920027","Decal, Label-AMWP11.5-8200AC","1"
"13","09410279","Decal, Danger-It is forbidden to store anything in the cabin","1"
"14","09410140","Decal, Warning-Filling water warning","1"
"15","09410071","Decal, Warning-Injection hazard","1"
"16","09320005","Decal, Symbols-Emergency operating instructions","1"
"17","09410081","Decal, Caution-Forklift pockets","4"
"18","09310166","Decal, Instructions-Maximum wheel load 1600kg","4"
"19","09910147","Decal, Label-AMWP11.5-8200AC","1"
"20","09310232","Decal, Instructions-White arrow","2"
"21","09310003","Decal, Instructions-Tie down point","4"
"22","09310002","Decal, Instructions-Lift point","4"
"23","09410031","Decal, Warning-Do not stepping","3"
"24","09310230","Decal, Instructions-Directional arrows","1"
"25","09310004","Decal, Instructions-Emergency lower","1"
"26","09310006","Decal, Notice-Main power switch operation","1"
"27","09420006","Decal, Warning-Crushing hazard","1"
"28","09420017","Decal, Danger-Do not stand","1"
