"Item","Part No.","Description","Qty."
"1","00010924","Hose assembly","1"
"2","00010925","Hose assembly","1"
"3","00010926","Hose assembly","1"
"4","00010927","Hose assembly","2"
"5","00005036","Hose assembly","1"
"6","00005042","Hose assembly","1"
"7","00010928","Hose assembly","1"
"8","10005867","Pipe","1"
"9","10021394","Pipe","1"
"10","00010929","Hose assembly","1"
"11","10021493","Pipe","1"
"12","00002921","Straight fitting","2"
"13","00001316","Straight fitting","7"
"14","00004904","Straight fitting","2"
"15","00009679","Straight fitting","1"
"16","00001294","Straight fitting","1"
"17","00001503","Straight fitting","1"
"18","00001315","Straight fitting","4"
"19","00009471","Elbow","1"
"20","00001832","Elbow","6"
"21","00001834","Elbow","1"
"22","00003867","Elbow","1"
"23","00001111","Plug  VSTI1/4ED","1"
