"Item","Part No.","Description","Qty."
"1","10006096","Counterweight","1"
"2","00000814","Washer  GB/T 97.1  12","4"
"3","00000815","Washer  GB/T 93  12","12"
"4","00002453","Bolt  GB/T 5783  M12×60","4"
"5","10031290","Behind baffle plate","1"
"6","10031283","Frame weldment","1"
"7","00001052","Bolt  GB/T 5783  M10×50","4"
"8","00000679","Washer  GB/T 93  10","10"
"9","00000615","Washer  GB/T 97.1  10","10"
"10","00004482","Grease nipple  GB/T 1152  M8×1","2"
"11","10031289","Behind baffle plate","1"
"12","00002029","Screw  GB/T 70.1  M6×12","4"
"13","00002583","Washer  GB/T 96.1  6","4"
"14","00000818","Bolt  GB/T 5783  M6×16","10"
"15","00000621","Washer  GB/T 93  6","10"
"16","00000620","Washer  GB/T 97.1  6","9"
"17","10006101","Cover bracket","4"
"18","10026033","Front baffle plate","1"
"19","","Steer linkage and wheels assembly (refer to 103.1)","1"
"20","","Pothole protection assembly (refer to 104.1)","1"
"21","00005019","Screw  DIN 912  M12×30×1.5-12.9","8"
"22","00002050","Screw  GB/T 70.1  M10×40","4"
"23","10000487","Ground strap","1"
"24","00002863","Bolt  QC/T 340  M6×10","1"
"25","10014971","Bolt","10"
"26","10014972","Wheel","2"
"27","00008592","Drive motor assembly","2"
"--","00006898","Reducer","1"
"--","00008358","Motor (KDS) (with brake)","1"
