"Item","Part Number","Description","Qty.","Remark"
"1","00001063","Bolt  GB/T 5783  M8 × 16","5","BA22CERT2 
BA20CERT2"
"","00001063","Bolt  GB/T 5783  M8 × 16","2","BA18CERT2 
BA16CERT2"
"2","00000609","Spring Washer  GB/T 93  8","15","BA22CERT2 
BA20CERT2"
"","00000609","Spring Washer  GB/T 93  8","12","BA18CERT2 
BA16CERT2"
"3","00000608","Flat Washer  GB/T 97.1  8","12",""
"4","92029902","Block","1",""
"5","50007936","Pin","1",""
"6","50008693","Cover","1","BA22CERT2 
BA20CERT2"
"7","00002000","Flat Washer  GB/T 96.1  8","3","BA22CERT2 
BA20CERT2"
"8","00010664","Bolt  GB/T 5789  M20 × 120","24","BA22CERT2"
"","00010362","Bolt  GB/T 5789  M20 × 110","24","BA20CERT2 
BA18CERT2 
BA16CERT2"
"9","00003165","Beacon","1",""
"10","00000875","Bolt  GB/T 5783  M8 × 20","6",""
"11","00001236","Nut  GB/T 889.1  M4","4",""
"12","00000778","Flat Washer  GB/T 97.1  4","4",""
"13","50000822","Latch","2",""
"14","00001054","Screw  GB/T 70  M4 × 12","10",""
"15","50008315","Housing","1",""
"16","00000993","Bolt  GB/T 5783  M8 × 25","4",""
"17","00010666","PVG Valve Block (Refer to 2-3)","1","Standard"
"","00011219","PVG Valve Block (Refer to 2-4)","1","Optional"
"18","50008271","Support","1",""
"19","00000818","Bolt  GB/T 5783  M6 × 16","10",""
"20","00000621","Spring Washer  GB/T 93  6","10",""
"21","00000620","Flat Washer  GB/T 97.1  6","10",""
