"Item","Part Number","Description","Qty.","Remark"
"1","00001177","Screw  GB/T 70.2  M6×12","8",""
"2","50008093","Cover","1",""
"3","50008120","Cage, Connection","1",""
"4","92029593","Shim","4",""
"5","92029594","Shim","4",""
"6","00000428","8813-506060 Sleeve Bearing","4",""
"7","50008139","Crank Arm 1","1","BA22CRT 
BA20CRT 
BA18CRT"
"","50008354","Crank Arm 1","1","BA16CRT"
"8","00000222","8902-16095 Pin, Lock","2",""
"9","00006247","895-50568 Pin, Pivot","1","BA22CRT"
"","00010542","895-50553 Pin, Pivot","1","BA20CRT 
BA18CRT 
BA16CRT"
"10","00001161","Bolt  GB/T 5783  M16 × 40","2",""
"11","00001035","Spring Washer  GB/T 93  16","2",""
"12","00000997","Flat Washer  GB/T 97.1  16","2",""
"13","00010242","895-50560 Pin, Pivot","1",""
"14","50008095","Cover","1",""
