"No.  1","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"","00773701020001010  Counterweight","","1",""
"2","1109900921","rubber  plug","2",""
"3","1040302483","M36  Washer","4","GB/T96.1"
"54","1040004613","24-200HV  Bolt  M24×60-10.9","4","GB/T5782"
"","00773701000001021  Plate  screw","","2",""
"6 7","1040102757","M10×25-8.8","4","GB/T70.3"
"","00773601000001021  Gasket","","4",""
