"Item","Part No.","Description","Qty."
"1","00001874","Radiator","1"
"2","50001466","Bracket","1"
"3","00000674","Bolt  GB/T 5783  M10×20","4"
"4","00000679","Washer  GB/T 93  10","4"
"5","00001028","Washer  GB/T 96.1  10","4"
"6","10024846","Bracket","1"
"7","00001063","Bolt  GB/T 5783  M8×16","2"
"8","00000609","Washer  GB/T 93  8","2"
"9","00002000","Washer  GB/T 96.1  8","2"
"10","00002071","Straight fitting","2"
"11","00001837","Elbow","2"
"12","00004979","Tee fitting","1"
"13","00001834","Elbow","1"
"14","10025598","Bracket","1"
"15","10026265","Bracket","1"
