"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1040002433","Болт M10×20-8.8","4","JB/T5783-2000"
"2","1040301502","Шайба 10","4","JB/T93-1987"
"3","1040302489","Шайба 10-200HV","4","GB/T97.1-2002"
"4","1140111237","Прямой соединитель","6","GE08LREDOMDCF"
"5","1140101463","Прямой соединитель","1","GE12LR1/2EDOMDCF"
"6","1140101462","Прямой соединитель","1","GE12LREDOMDCF"
"7","1010306167","ST4661-AB0A","1",""
