"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1140115073","Прямой удлиненный 
соединитель","1","GE42LREDOMDCF-L150"
"2","1140107806","Проходное соединение 45°","1","EV42LOMDCF"
"3","1140107803","Проходное соединение 45°","1","EV28LOMDCF"
"4","1140115072","Прямой удлиненный 
соединитель","1","GE28LREDOMDCF-L145"
"5","1140101464","Прямой соединитель","2","GE15LREDOMDCF"
"6","1140101629","Резьбовая заглушка","1","VSTI3/8EDCF"
"7","1140101465","Прямой соединитель","1","GE15LR3/8EDOMDCF"
"8","1140102812","Прямой соединитель","1","GE18LREDOMDCF"
"9","1140108469","Прямой соединитель","1","GE08LR3/8EDOMDCF"
"10","1140101521","Прямой соединитель","1","GE12LR1/4EDOMDCF"
"11","00771405201601010","Каучуковая прокладка 
крышки","1",""
"12","00771405201620000","Крышка в сборе","1",""
"13","1040301515","Шайба 8-200HV","16","GB/T97.1-2002"
"14","1040301510","Шайба 8","16","JB/T93-1987"
"15","1040004518","Болт M8×20-8,8","14","JB/T5783-2000"
"16","1010500340","Воздушный фильтр","1",""
"17","1140101737","Прямоугольный 
композитный штуцер","1","EW28LOMDCF"
"18","1040004519","Болт M8×25-8,8","2","JB/T5783-2000"
"19","1140114950","Прямой удлиненный 
соединитель","1","GE28LREDOMDCF-L80"
"20","1010601139","Обратный масляный фильтр","1",""
"21","00771405201610000","Корпус масляного бака","1",""
"22","1019901354","Уровнемер-термометр","1",""
"23","1040302490","Шайба 12-200HV","4","GB/T97.1-2002"
"24","1140107416","Заглушка с внутренней 
шестигранью","1","VSTI1/2EDCF"
"25","1040002442","Болт","4","M12×70-8.8"
