"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1140101462","Прямой соединитель","1","GE12LREDOMDCF"
"2","1040302489","Шайба 10-200HV","2","GB/T97.1-2002"
"3","1040301502","Шайба 10","2","JB/T93-1987"
"4","1040002434","Болт M10×25-8.8","2","JB/T5783-2000"
"5","1010001903","Аварийный насос с 
приводом от 
электродвигателя","1",""
"6","1140111237","Прямой соединитель","1","GE08LREDOMDCF"
