"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1010601138","Фильтр высокого 
давления","1",""
"2","1140101463","Прямой соединитель","2","GE12LR1/2EDOMDCF"
"3","1040301515","Шайба 8-200HV","4","GB/T97.1-2002"
"4","1040301510","Шайба 8","4","JB/T93-1987"
"5","1040004517","Болт M8×16-8,8","4","JB/T5783-2000"
"6","1140101477","Прямоугольный 
композитный штуцер","1","EW12LOMDCF"
