"№","п/п  Код материалов","Наименование и спецификация","Кол-во","Примечание"
"31","00771600101000000","Сварной элемент кронштейна фильтра","1",""
"32","1040101643","Винт M6×30-A2-70","2","GB/T 70,1-2000"
