"Item","Part No.","Description","Qty."
"1","10000536","Hinge pin","2"
"2","00000368","8812-252820  Bearing","4"
"3","00002392","Screw  GB/T 70.1  M5×40","2"
"4","00000606","Washer  GB/T 93  5","2"
"5","00000605","Washer  GB/T 97.1  5","2"
"6","00007543","Ground control assembly (without IOT module) (refer to 
105.1)","1"
"","00006801","Ground control assembly (with IOT module) (refer to 
105.1)","1"
"7","","Ground control cover assembly (refer to 106.1)","1"
"8","","Hydraulic tank assembly (refer to 107.1)","1"
"9","00001179","Screw  GB/T 70.2  M6×16","2"
"10","00000620","Washer  GB/T 97.1  6","6"
"11","10000540","Handle hole ring","1"
"12","10000480","Latch (right)","1"
"13","00002866","Bolt  QC/T 340  M6×20","2"
"14","10000048","Cover","1"
"15","00001060","Screw  GB/T 818  M6×12 - H","4"
"16","","Motor controller assembly (refer to 108.1)","1"
"17","00000831","Screw  GB/T 70.3  M6×20","2"
"18","10015302","Hydraulic tray weldment (JCPT0808AC, JCPT0812AC, 
JCPT1008AC, JCPT1012AC, JCPT1212AC, 
JCPT1412AC, JCPT1612ACS)","1"
"","10015317","Hydraulic tray weldment (JCPT1612AC, JCPT1614AC)","1"
"19","00000837","Screw  GB/T 70.3  M8×16","4"
"20","00000838","Screw  GB/T 70.3  M8×25","4"
"21","","Pump motor assembly (refer to 109.1)","1"
"22","00001059","Screw  GB/T 70.1  M10×30 (JCPT0812AC, 
JCPT1012AC, JCPT1212AC, JCPT1412AC, 
JCPT1612ACS)","1"
"","00002234","Screw  GB/T 70.1  M10×55 (JCPT1612AC, 
JCPT1614AC)","1"
