"Item","Part No.","Description","Qty."
"19","00000608","Washer  GB/T 97.1  8","4"
"20","00000609","Washer  GB/T 93  8","4"
"21","00000875","Bolt  GB/T 5783  M8×20","4"
"22","10015324","Battery tray weldment (JCPT0808HA/AC, 
JCPT0812HA/AC, JCPT1008HA/AC, JCPT1012HA/AC)","1"
"","10015307","Battery tray weldment (JCPT1212HA/AC, 
JCPT1412HA/AC, JCPT1612HAS/ACS)","1"
"","10015319","Battery tray weldment (JCPT1612HA/AC, 
JCPT1614HA/AC)","1"
"23","00007777","Battery (JCPT0808HA/AC, JCPT0812HA/AC, 
JCPT1008HA/AC, JCPT1012HA/AC)","1"
"","00007778","Battery (JCPT1212HA/AC, JCPT1412HA/AC, 
JCPT1612HA/AC, JCPT1612HAS/ACS, JCPT1614HA/AC)","1"
"24","00002573","Nut  GB/T 6183.1  M5","6"
"25","10000537","Half-round batten","2"
"26","00001059","Screw  GB/T 70.1  M10×30 (JCPT0812HA/AC, 
JCPT1012HA/AC, JCPT1212HA/AC, JCPT1412HA/AC, 
JCPT1612HAS/ACS)","1"
"","00002234","Screw  GB/T 70.1  M10×55 (JCPT1612HA/AC, 
JCPT1614HA/AC)","1"
"27","10014558","Bumper (JCPT0812HA/AC, JCPT1012HA/AC, 
JCPT1212HA/AC)","1"
"","10014559","Bumper (JCPT1412HA/AC, JCPT1612HAS/ACS)","1"
"","10014560","Bumper (JCPT1612HA/AC, JCPT1614HA/AC)","1"
"28","10000481","Latch (left)","1"
"29","00002866","Bolt  QC/T 340  M6×20","2"
"30","10000540","Handle hole ring","1"
"31","00001013","Screw  GB/T 973  M5×20","4"
"32","10014940","Cover","1"
"33","00001011","Screw  GB/T 973  M5×12","2"
"34","00000689","Charger (GPSC)","1"
"","00007684","Charger (EPC)","1"
"35","00001060","Screw  GB/T 818  M6×12 - H","4"
