"Item","Part No.","Description","Qty."
"1","00007940","Controller","1"
"2","00002391","Screw  GB/T 818  M5×8 - H","5"
"3","00002206","Relay","5"
"4","00004421","Circuit breaker","1"
"5","00002208","Circuit breaker","2"
"6","10019609","Ground control box weldment","1"
"7","00001296","Latch, Column","1"
"8","00001245","NC contact","1"
"9","00000752","Base with 1 NC contact","1"
"10","00000754","Red mushroom head","1"
"11","00001243","Key switch","1"
"--","00003050","Key","1"
"12","09110018","Decal, Key switch panel","1"
"13","00001250","Screw  GB/T 818  M5×16 - H","4"
