"Item","Part No.","Description","Qty."
"1","00001041","Bolt  GB/T 5783  M10×40","6"
"2","00001028","Washer  GB/T 96.1  10","6"
"3","10002582","Ladder (JCPT1218RT with outriggers)","1"
"","10002740","Ladder (JCPT1218RT without outriggers)","1"
"","10003501","Ladder (JCPT1418RT with outriggers)","1"
"","10003505","Ladder (JCPT1418RT without outriggers)","1"
"4","10009596","Counterweight (JCPT1418RT)","1"
"5","00000814","Washer  GB/T 97.1  12 (JCPT1418RT)","2"
"6","00000815","Washer  GB/T 93  12 (JCPT1418RT)","2"
"7","00002046","Bolt  GB/T 5783  M12×35 (JCPT1418RT)","2"
"8","10004997","Counterweight (Model without outriggers)","1"
"9","00002046","Bolt  GB/T 5783  M12×35 (Model without outriggers)","4"
"10","00000814","Washer  GB/T 97.1  12 (Model without outriggers)","8"
"11","00001249","Nut  GB/T 6182  M12 (Model without outriggers)","4"
"12","10000173","Cover","1"
"13","10002491","Frame weldment","1"
"14","","Outrigger assembly (option) (refer to 123.1)","2"
"15","00001042","Screw  GB/T 70.1  M6×30","8"
"16","00000621","Washer  GB/T 93  6","8"
"17","10002781","Hose clamp","8"
"18","00003606","Bolt  GB/T 5782  M20×70","24"
"19","00001050","Washer  GB/T 97.1  20","24"
"20","10002780","Outrigger mount plate","4"
"21","00001051","Nut  GB/T 6182  M20","24"
"22","00000623","Nut  GB/T 6182  M10","6"
"23","00000615","Washer  GB/T 97.1  10","6"
"24","10002783","Outrigger mount plate","4"
