"Item","Part No.","Description","Qty."
"1","50000112","Nut  QC/T 885  M6","13"
"2","00002583","Washer  GB/T 96.1  6","10"
"3","00000621","Washer  GB/T 93  6","19"
"4","00000818","Bolt  GB/T 5783  M6×16","14"
"5","10002585","Cover","1"
"6","00002575","Nut  GB/T 6183.1  M8","1"
"7","10002584","Cover","1"
"8","00003275","Hose clamp","1"
"9","10000047","Base plate","1"
"10","00002089","Bolt  GB/T 5782  M8×50","1"
"11","10002491","Frame weldment","1"
"12","00000609","Washer  GB/T 93  8","2"
"13","00002000","Washer  GB/T 96.1  8","2"
"14","00001063","Bolt  GB/T 5783  M8×16","2"
"15","10002589","Switch bracket","1"
"16","00002354","Limit switch","1"
"17","00003545","Washer  GB/T 96.1  5","4"
"18","00000606","Washer  GB/T 93  5","6"
"19","00001252","Screw  GB/T 70.1  M5×12","6"
"20","00000620","Washer  GB/T 97.1  6","9"
"21","10002979","Ground strap","1"
"22","00000743","Bolt  GB/T 5783  M6×20","3"
"23","00000775","Bolt  GB/T 5783  M6×30","2"
"24","","Electrical accessory assembly (refer to 127.1)","1"
"25","10002586","Cover","1"
