"Item","Part No.","Description","Qty."
"1","10002719","Cover","1"
"2","00000678","Bolt  GB/T 5783  M10×25","6"
"3","00000679","Washer  GB/T 93  10","6"
"4","00000615","Washer  GB/T 97.1  10","6"
"5","50001592","Clamp","2"
"6","10003008","Hose","1"
"7","10002794","Cooler","1"
"8","10002720","Cover","1"
"9","00000817","Screw  GB/T 70.1  M5×20","2"
"10","00000605","Washer  GB/T 97.1  5","2"
"11","10001220","Bottle fixing plate","1"
"12","10015262","Coolant recovery bottle","1"
"13","10001218","Bottle bracket","1"
"14","00000993","Bolt  GB/T 5783  M8×25","2"
"15","00000608","Washer  GB/T 97.1  8","4"
"16","00001163","Nut  GB/T 6182  M8","2"
"17","00000613","Nut  GB/T 6182  M5","2"
"18","00000603","Bolt  GB/T 5782  M10×55","2"
"19","00001028","Washer  GB/T 96.1  10","4"
"20","10002718","Cooler bracket","1"
"21","00002251","Bumper","6"
"22","00000623","Nut  GB/T 6182  M10","1"
"23","10002721","Support","1"
"24","10002707","Bracket weldment","1"
"25","00002512","Bolt  GB/T 5782  M10×70","1"
