"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"21","00775802800001170","Крепежная опора 
аккумулятора","2",""
"22","1040100237","Винт M6×30-8.8","8","GB/T70.1-2000"
"23","1040300051","Шайба 6","8","GB/T97.1-2002"
"24","1040000114","Болт M10×25-8.8","5","GB/T5783-2000"
"25","1040300067","Шайба 10","5","GB/T93-1987"
"26","00773400300001200","Стопорный штифт","1",""
"27","00775802800001420","Вал поддона","1",""
"28","00775802800001030","Фрикционная накладка","1",""
"29","1101000162","Петля","4",""
"30","1040000076","Болт M6×25-8.8","24","GB/T5783-2000"
"31","1040300526","Шайба 12","8","GB/T97.1-2002"
"32","1040300054","Шайба 12","8","GB/T93-1987"
"33","1040000069","Болт M12×25-8.8","8","GB/T5783-2016"
"34","00775802800001400","Крепежная планка верхняя 
наружной рамы II","1",""
"35","00775802801400000","Наружная рама правого 
корпуса","1",""
"36","1040000288","Болт M8×25-8.8","4","GB/T5783-2000"
"37","1040300066","Шайба 8","4","GB/T97.1-2002"
"38","00775802800001410","Опора подпиточного 
фильтра","1",""
"39","1040200503","Гайка M8-8","4","GB/T889.1-2000"
"40","1040100618","Винт M10×16-8.8","4","GB/T818-2000"
